Q,A
"9-1-1, what's your emergency?",I robbed somebody downtown Portland at 9th Point. And I just wanted to let you guys know that I did that. I'm not going to commit suicide. I'm standing on a 10-story high building. I don't want to release that information. I just wanted to let you guys know that it was me.
"9-1-1, what's your emergency?",My wife is dying and the nurses don't want to help her out. She's vomiting blood.
"9-1-1, what's your emergency?","Yes, is this a police station? Yeah, okay, I know this sounds ridiculous, but I'm on 24th Street at a car wash, and I'm stuck inside. I put $5 in, it sprayed a soak on me, and now the doors won't open, and I'm scared to get out of the car."
"9-1-1, what's your emergency?",I need to report a murder. 167 Redstone Drive in Warrington.
"9-1-1, what's your emergency?","Oh my God. I'm on 3rd Avenue by the railroad tracks. Somebody just tried to jump on the train and severed her legs. We're on the west side of the railroad tracks on 3rd Avenue, at Atwood."
"9-1-1, what's your emergency?","Oh my God! Oh my God! Oh my God! My boyfriend, he’s been hurt! He needs an ambulance!"
"9-1-1, what's your emergency?","Hello? Oh, yeah. Are you going to help me? Because I'm bleeding. A lot."
"9-1-1, what's your emergency?","9-1-1, please send fire and medical. Somebody got shot."
"9-1-1, what's your emergency?","Hi, my wife's pregnant and she said she can't make it to the hospital. Okay."
"9-1-1, what's your emergency?","Well, it's not an emergency, but do you know why on one side at the damn drawbridge on 95 traffic can stop for 15 minutes? Yeah, somebody gave me a hard time. I called your number to find out why there's a delay. It's been about 22 minutes on the drawbridge, and I'm in the front car, and I can see something happening on the bridge."
"9-1-1, what's your emergency?",Please help me. I'm Amanda Berry. I need police.
"9-1-1, what's your emergency?","Yes, it's area 617. A child has been left on my doorstep."
"9-1-1, what's your emergency?","Someone was just shot and robbed. Behind the club, Sharky's, the street beside Sharky's."
"9-1-1, what's your emergency?","I've combined it. No, he's... Yes, sir, this is... And I called to all at 24, somebody to come out here. Please, because he'd been called..."
"9-1-1, what's your emergency?","Hi, I am, you know, there's an emergency. Yes, I am on Hough Road."
"9-1-1, what's your emergency?",Come on. Yes.
"9-1-1, what's your emergency?","Yeah, my daughter is not breathing. 5940."
"9-1-1, what's your emergency?","Yes. Well, I'm locked in my car. Yes, in my car."
"9-1-1, what's your emergency?","Yes, excuse me, sir, some helicopters came down. Yes."
"9-1-1, what's your emergency?","There's a shooting going on, local shooting. In the IHOP."
"9-1-1, what's your emergency?","Hey, hey, right now, a man. Yo, there's a guy, there's a guy."
"9-1-1, what's your emergency?","Yes, I'm feeling my bird in the back. It's a house."
"9-1-1, what's your emergency?","Are you out of the house yet? We can't. There's nothing open. If I open the door, it's too much smoke."
"9-1-1, what's your emergency?","A car ran through and ran over about five or six, seven people. A man is laying on the ground, his head is bleeding, and there are two babies on the ground. Ma'am, do you need an ambulance?"
"9-1-1, what's your emergency?","Number one. Listen to me. Okay, and you said she's having a seizure?"
"9-1-1, what's your emergency?","No. Sorry, 763 South, 475 East."
"9-1-1, what's your emergency?","Hi, this is Donna Savings, and we've just been robbed. 10381 South De Anza Boulevard."
"9-1-1, what's your emergency?","Hi, this is being transferred. Yeah, I need a unit here, probably an ambulance. I saw a lady, she was yelling for help. It looked like she had blood all over her."
"9-1-1, what's your emergency?","Can I get a police on Dryden, Park, and Dewey? They just jumped my 13-year-old daughter, and it's about to be all hell."
"9-1-1, what's your emergency?","Hello, hello? Hello, who are you?"
"9-1-1, what's your emergency?","I think we need the police at the Walmart Supercenter in Muskogee. Some guy heard some loud bangs, now he’s got a gun and he's telling people to stay back."
"9-1-1, what's your emergency?","Hi, I have a suicidal teenager at House 503 Nighthawk Drive. I need an ambulance immediately. Excuse me?"
"9-1-1, what's your emergency?","Please, I want, you're on, you know from gas station. Yes."
"9-1-1, what's your emergency?",I just got the police right now. They're here right now.
"9-1-1, what's your emergency?",Fire alarm office. It's a medical emergency.
"9-1-1, what's your emergency?","There's a shooting, I'm at 1331 Bannister Road. We need help. Yes, 1331 Bannister Road, there's a shooter."
"9-1-1, what's your emergency?","I need EMS, don't hang up, sir. No, he's having a seizure."
"9-1-1, what's your emergency?","Yes, I just shot someone in my business. 5931 4th Avenue South, Seattle, Washington at Sharp's Outdoor Power."
"9-1-1, what's your emergency?","Police involved in an accident at I-83 northbound, near the Pepsi sign. I-83 northbound at the Pepsi sign, near Union Avenue."
"9-1-1, what's your emergency?","Um, see, uh, a good thing, man. I got it, uh, you know, I gotta put you on something. Hold on a second. There's a shooting at 242 Lines Avenue. Multiple gunshots. Two people shot."
"9-1-1, what's your emergency?","There's a fire in my apartment building! Yes, I'm on the third floor."
"9-1-1, what's your emergency?","Um, I have someone here that I need to be arrested in my home. Yes, and there's also a possible missing child. I have a three-year-old that's been missing for a month."
"9-1-1, what's your emergency?","I have an emergency. I have three dead people up on top. It's called Haley Flat, up Wolfton."
"9-1-1, what's your emergency?",I like Gunners in South West. I got ran over by the rail cars.
"9-1-1, what's your emergency?","Um, hello, my mom has been shot. Yes, my mom has been shot."
"9-1-1, what's your emergency?","Representative Bogdanov, you're on deck. Representative Domino is here to talk about emergency dispatchers, 911 dispatchers."
"9-1-1, this call is recorded. What's your emergency?","Hello. Okay, sir. What's the address?"
"9-1-1, what's your emergency?","I think someone's trying to break into my home, just off of 56th Avenue. He broke a window, and I'm home alone."
"9-1-1, what's your emergency?",Hi. Something just exploded at the end of Fayette. There's fire.
"9-1-1, what's your emergency?","517 William G. Drive. The K-PAC police chief was having a vehicle pulled across the street, and the residents came out and shot him."
"9-1-1, what's your emergency?","We're being robbed. I've got a guy down. West Point Trail, West Fork. Firefighter Ron Huddleston's house."
"9-1-1, what's your emergency?","Lawrence State here. Yeah, they're in the house now."
"9-1-1, what's your emergency?","Hello. No, I thought it was the telephone number for the Amtis Corporation, and I'm trying to reach them. I don't need emergency."
"9-1-1, what's your emergency?",I need EMS for Officer Matthew. 1038.
"9-1-1, what's your emergency?",We may need an ambulance at the zoo. It's the zoo.
"9-1-1, what's your emergency?","Hey, it's Elbeifery from Valley. We've got a medical, a birth, at 4500 Miles Road."
"9-1-1, what's your emergency?",We're on the boat right now. Our friend just got bit by a shark. A broad and real pier.
"9-1-1, what's your emergency?","I don't know the exact address, but it's near Spartan Avenue. We took a left at the light. I don't know the name of the road."
"9-1-1, what's your emergency?",Is the air clear? 15 Bravo 5. I'm inside Target at the north entrance.
"9-1-1, what's your emergency?","Oh my God, somebody's shooting at the sheriff's department! Yes, in Laypaw County."
"9-1-1, what's your emergency?","I am. I am. Okay, what's the address?"
"9-1-1, what's your emergency?","I just shot my wife. Yes, but can they come without sirens?"
"9-1-1, what's your emergency?","I just called over to my sister's house and my nephew, who is a felon, is causing problems there. My brother-in-law had to take my sister out of the house. I need someone to go there, please. He just hung up on me and called me a bitch. There’s a bunch of drinking going on. My nephew is on house arrest with an ankle bracelet. He ran my sister and her husband out of the house."
"9-1-1, what's your emergency?","I'm calling from the Sheraton, Baltimore North. We have a dead body in one of our rooms."
"9-1-1, what's your emergency?","Yes, I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was. My wife woke me up and said somebody was trying to kick in the door. I looked out the window and told him to go away. He kept trying to kick the door in. So I opened the door to see what his problem was because he looked kind of drunk and he charged me. I had my firearm. I told him to stop. He took off his shirt and then charged me again so I shot him. Yes, he charged me and went back into my house with my kids here."
"9-1-1, what's your emergency?","This is the county with a transfer. I just see the call over. He's at 1127K Parbour Court. The apartment next door has a fire. 1127K Parbour Court. An apartment building, and one of the apartments is on fire."
"9-1-1, what's your emergency?","This is someone with the transfer for police, fire, or medical. Yes, I need an ambulance. 241 Domerick Drive."
"9-1-1, what's your emergency?","No, somebody just came in and shot my daughter and my husband. Please, she's bleeding out. My daughter is bleeding out."
"9-1-1, what's your emergency?",I think somebody's breaking in the house. We just came home from school and put our pajamas on. We're really scared. My mom's on her way here.
"9-1-1, what's your emergency?",We need an ambulance at 1397 Newport. Correct.
"9-1-1, what's your emergency?","Yes, can I get help from the police department? Can I get some assistance at Walnut Creek Apartments?"
"9-1-1, what's your emergency?",Hello? I'm ready for the police right out.
"9-1-1, what's your emergency?","N-5631 Shaw-Hill Road. Yeah, what's going on there?"
"9-1-1, what's your emergency?","Um, there was just a semi-going down Red Arrow and it had a wheelchair in front of it with a guy in it. Hello."
"9-1-1, what's your emergency?","Yes, ma'am. This is a... Hold on...aids facility. Just a hysterical field. And a gunshot's going on...and a lot in the parking lot area."
"9-1-1, what's your emergency?","Yes, I need some help. There was someone on my back porch, a black man. 3613 Baywood Lane."
"9-1-1, what's your emergency?","I just got back from work from Target. I'm at 338 Thompson Drive, and I found my fiancée on the floor in the kitchen. There's blood everywhere. No, she's not. Please help."
"9-1-1, what's your emergency?","I'm over here. California Highway Patrol. Hey, we've got some shootings over here in Seal Beach."
"9-1-1, what's your emergency?","We need an ambulance. I'm on Highway 100. I don't know. I'm on my way to watch the hospital, but I don't know if I'll make it. I'm trying to get to the next road."
"9-1-1, what's your emergency?","I'm the instructor at the front of a class. I've got three down. I'm not sure if they're all dead, but I'm pretty sure. I had a student that had withdrawn from the program. She came to me earlier looking for help. I sent her to get her transcripts, then she went to someone else's office, and then she came back to my office."
"9-1-1, what's your emergency?",His name is Matt. I guess he knows her. It's Peaches on Cortez.
"9-1-1, what's your emergency?","Yes, ma'am. I think my son's been killed. We're in the Evergreen Trailer Park on Bolson Street, Trailer 81."
"9-1-1, what's your emergency?","3124 North Truewood, number B. There's a gunshot wound to the chest."
"9-1-1, what's your emergency?","Hi. I just saw somebody run into the Compass Bank on Thomas and 34th Avenue with a mask on. Looks like a white, four-door, Scion, or Mitsubishi."
"9-1-1, what's your emergency?","I don't want emergency. The lake and I ride on horses out at Rocky Canyon, north of Eagle Road. Do you know where that is? Do you know where they ride the horse? You go down Eagle Road past Stilwell?"
"9-1-1, what's your emergency?","Yes, my fiancé is going crazy. I think he's going to try to kill himself. I need an ambulance; they're going to have to restrain him. He's not hurting anyone else, but he's screaming that he hates himself and he wants to die, and he's hitting himself in the head."
"9-1-1, what's your emergency?","Well, hi, I'm an emergency. This is Ramigran. I'm at Gracewood Deli. I specifically asked for little turkey and little ham and a lot of cheese and a lot of mayonnaise. And they give me a hard time with him and he stopped by and just..."
"9-1-1, what's your emergency?","Yes, I'm calling. I have a concern for a co-worker. She just called in, sounding very strange, and I asked her where she's being abducted or held hostage, and she was just like, yeah, yeah. She's taking her son to school."
"9-1-1, what's your emergency?","This is the sheriff's office with a transfer. The address is 4037 Northwest Woodston Road, Unit 10B at Oak Tree Village. My boyfriend's outside. He's been stabbed."
"9-1-1, what's your emergency?","Help me, please. There's a fire. Oh, no, it's wrong."
"9-1-1, what's your emergency?","I just killed someone, 100, Route 46. Exactly what I said. I'm armed and dangerous."
"9-1-1, what's your emergency?","Yes, we need an ambulance. We're at Westport Shopping Center, right outside Norton Immediate Care Center. We had somebody that looked like they had heat exhaustion out on our lawn crew, and he's in pretty rough shape right now."
"9-1-1, what's your emergency?","Yes, we need an officer right now. There's a man shooting at this lady. We need a cop. I don't know where we are. Oh my gosh, what street is this called?"
"9-1-1, what's your emergency?","Seizures on Sunset and Larrabee, please come here. It's Sunset and Larrabee. It's the Viper Room."
"9-1-1, what's your emergency?","Yes, I'd like to report a shooting, please. The address is 9063 C Lane, S-E-A, Lane, Southwest."
"9-1-1, what's your emergency?",I'm at Kuro Tower downtown. Kuro Tower downtown.
"9-1-1, what's your emergency?","Yeah, it's 5181-BERRY lane. No, wait, C-I-A-A. Yeah, because the..."
"9-1-1, what's your emergency?","Leopold Way in Pittsburgh. 3309, Leopold Way."
"9-1-1, what's your emergency?","Yeah, I was sleeping and I heard my doorbell ring. Yes."
"9-1-1, what's your emergency?","Um, all your doctors? Because my mom's on the floor, we think, and I can't wake her up. Um, I don't know, but she's not waking up."
"9-1-1, what's your emergency?",There's an armed robbery going on right now. I've been shot in the back and I'm bleeding. Yes.
"9-1-1, what's your emergency?",Get EMT over here. Someone's been shot 1220 Telegraph Avenue.
"9-1-1, what's your emergency?","There's Brian Sessons at 701 Buckford Circle, and he is trying to wrestle his way into my house. He's outside my house, ringing my doorbell."
"9-1-1, what's your emergency?","Yes, this is Danelle Dash. I live over here by Carquest. It sounds like gunshots are being fired."
"9-1-1, what's your emergency?","No, police. I'm calling because I'm at a park and my son is missing."
"9-1-1, what's your emergency?",Somebody just broke into our house. They're trying to break into my bedroom. 3719 North East 64th Avenue.
"9-1-1, what's your emergency?",Hang on. They're okay?
"9-1-1, what's your emergency?","Um, yes, I need an ambulance. Um, I'm on Hardstone, in Rhode."
"9-1-1, what's your emergency?","Listen, we're bleeding really bad. Yes, help, help, help."
"9-1-1, what's your emergency?","Yeah, I need police at, uh... Where the heck am I? 291 Watertown Street immediately. We just had bullets fired. I don't know. Someone out the window."
"9-1-1, what's your emergency?",This is Gifford. Hello? Hello? There's been a shooting at Safeway.
"9-1-1, what's your emergency?","Hello? Hi, I have to report an emergency."
"9-1-1, what's your emergency?","Help me, help me quick. I live on the courtyards. Arlington on the pond and I go into the lake."
"9-1-1, what's your emergency?","My wife fell asleep in the bathtub and I think she's dead. Yes, Morrow, Ohio."
"9-1-1, what's your emergency?","This is Maria Sanchez, 9-1-1 Communications Record Custodian. I have a situation to report from the Miami Beach area. The incident occurred on August 6, 2013, around 5:13:32 AM. It involves a suspect who was last seen running southbound on Collins Avenue from 71st Street."
"9-1-1, what's your emergency?",Huh? 1880 Springview.
"9-1-1, what's your emergency?","Oh, it's 12. Question 12. Eight point zero one two. We got a call. We're evacuating right now."
"9-1-1, what's your emergency?",My brother! Okay.
"9-1-1, what's your emergency?","Um, across from 4709, 40th Avenue. Um, yeah, 4709."
"9-1-1, what's your emergency?","I'm walking in the field. I don't know where I am. Yes, then we started walking."
"9-1-1, what's your emergency?","Um, yes, I'm on North Rice Avenue. There's a man shooting! No, he didn't shoot my grandma's house."
"9-1-1, what's your emergency?",Cushing Police Department. We've got a little boy missing. Have you had any reports on one? Four.
"9-1-1, what's your emergency?","State Patrol, 9-1-1, we are on Minnesota Lake. Our boat has capsized. Fairly."
"9-1-1, what's your emergency?","My dad's trying to assist a police officer, and someone started shooting at them! They're on Russell Farm Road, near the intersection with Copper Mine Road."
"9-1-1, what's your emergency?","Old Bridge, please. There's a shooting. Route 9 and Old Bridge. At the Pathmark."
"9-1-1, what's your emergency?","Fire emergency. My mom is in the bathroom and she can't get up. I have a little sister, a big sister, two big brothers, and my dad, but my dad and big brothers aren't home."
"9-1-1, what's your emergency?","They won't go. Yeah, I kind of do."
"9-1-1, what's your emergency?","We just caught two boys breaking into our car, and we've detained one of them on our porch. Yes, ma'am."
"9-1-1, what's your emergency?","It's our hunting cabin. It's on Panhandle Road across from the pump stations, near Rock Road. I think it's 157. We went to the Quail's Unlimited dinner last night, and a friend of mine looks like he hit his head in the bathroom, and I can't get him to get up."
"9-1-1, what's your emergency?","We're at the McDonald's and there's an issue, I need help. There's a group causing a lot of trouble here, I need someone to come quickly!"
"9-1-1, what's your emergency?","Oh, hello? Yeah, I was trying to find out if I needed to bring, like, any checkstubs or a letter from the school, you know, saying that I'll be subbing or whatever."
"9-1-1, what's your emergency?",I'm trapped on the backside of a forest fire. I need help. I don't know exactly. I'm in a clear cut area right near the fire.
"9-1-1, what's your emergency?","Oh my God, there's a dead man in a car on Forest Circle! I don't know exactly. I just found him, please hurry!"
"9-1-1, what's your emergency?",My house. 152 River Creek Lane.
"9-1-1, what's your emergency?","Hello, ma'am. My name is Jarius Jackson. I'm calling on behalf of my mother. She's on the phone right now. I'm in another country, Canada. She's at my home in Texas at 2711 Driftwood Drive, and she was a witness of a kidnapping tonight."
"9-1-1, what's your emergency?","The address is 1680 Ray Road. We have a baby missing out of her crib. No, ma'am."
"9-1-1, what's your emergency?",I have a little girl who fell in the pool and I think she's unconscious right now. It's 886 East Florida Avenue.
"9-1-1, what's your emergency?","Somebody from the Capital One bank called saying there's a bag in the bank, and she said, 'I gotta go, I gotta go,' and hung up the phone. Yes, there’s a robbery in progress. The subject is in the back of the bank."
"9-1-1, what's your emergency?",Hi. Hello?
"9-1-1, what's your emergency?","Uh, yeah, I need an ambulance at 233 Pat Lane. Yeah, man, I don't know what this kid has done, and she's like going into a seizure or something."
"9-1-1, what's your emergency?",Hornet Drive. Medical and police.
"9-1-1, what's your emergency?","Yes, this is Oz County Utilities Emergency Dispatch. We found a human skull."
"9-1-1, what's your emergency?",I'm calling from 1109 East Alameda. There's been a shooting. I just shot a man who was attacking me. He's down and hurt bad.
"9-1-1, what's your emergency?",What city is your emergency? South 1180 West.
"9-1-1, what's your emergency?",My neighbor's house is burning down at 312 Washington Avenue. I don't know. I'm finding out right now.
"9-1-1, what's your emergency?","Building fire. Residential fire at 3722 Caracas Court. Yes, 3722 Caracas Court, cross street of Cornwood, beat 803."
"9-1-1, what's your emergency?","Yes, we're at a pool and I have a little girl that says she's drowning. She's not breathing. Yes."
"9-1-1, what's your emergency?","Hi, my name is Gioravar and I'm at Plaza and I-35 Travel Plaza because they were trying to kill me. No, but I know they're going to follow me, because they tried to follow me."
"9-1-1, what's your emergency?","Randy Willis's package store on Highway 10 West. I live right behind him, and his burglar alarm went off. I called down there because I saw him just get in the store, and I saw somebody run behind the store. I think somebody's in there with him now."
"9-1-1, what's your emergency?","Yeah, this is an emergency. I'm a cab driver. This guy said his friend died on the road, but I don't see him. We're at Rosedale Park. Yes. He's crying and saying his friend died here, but I don't see anything."
"9-1-1, what's your emergency?",We have a pursuit. Taking a left on Pacheco from St. Michael's.
"9-1-1, what's your emergency?",There's somebody trying to get into my house. I have my gun out. They're at the front door!
"9-1-1, what's your emergency?",Somebody just shot a police officer! He's right in front of 14th Street behind the shopping center.
"9-1-1, what's your emergency?",On Farragut. I'm following a vehicle northbound passing Bowman. It's a black sedan. The driver might be Sergio Munoz.
"9-1-1, what's your emergency?","Hi, I need somebody escorted out of my store right away. He's causing problems. Yeah, he's fighting with somebody right now."
"9-1-1, what's your emergency?","Hi. I'm kind of scared. There's a man knocking on my windows and trying to get into my house. Tamarack, Florida."
"9-1-1, what's your emergency?","Uh, burglars are breaking into a house next door. 7418. Not my address, but next door, okay?"
"9-1-1, what's your emergency?","I don't know. I'm going to be... B...B...Bhopi. B...B...B... But if you will leave your name and number, I will be glad to get back with you. Thank you."
"9-1-1, what's your emergency?","Hello, we just got a call that somebody had shot somebody in a house on Moses. Somebody shot three people in the house on Moses, and we just came over here knocking because we know them."
"9-1-1, what's your emergency?","No, no, no, no, no, no, no, no, keep going to, no. What's your address?"
"9-1-1, what's your emergency?",Somebody just stabbed my baby. Please get here. Stabbed my baby.
"9-1-1, what's your emergency?","Hi, um, I think I may have found possibly a body in a trash bag. And then there's a girl missing from Ohio."
"9-1-1, what's your emergency?","We have reports of a fight and potential gunshots at 7512 South Howell Avenue. A bald male with glasses may have shot someone. I didn't see the shooter, but people are saying there's a man with a gun."
"9-1-1, what's your emergency?","Hey, this is HPD. We got a pursuit going on. It's heading towards us."
"9-1-1, what's your emergency?",There's a fire in the center of Lake Megantic. It's on Laval Road.
"9-1-1, what's your emergency?",We're in a plane that's landing in the Hudson River. Two aboard.
"9-1-1, what's your emergency?","Hi, I need someone at 15012 Spring Street. Union Grove. I need an ambulance. I have a boy that was underwater and he's not breathing."
"9-1-1, what's your emergency?","Hello, yeah. He's going down Central Parkway with my baby."
"9-1-1, what's your emergency?","Do you need police or paramedic? No, I want to report a drug overdose."
"9-1-1, what's your emergency?","Hey, um, they just broke into my house. They had guns. They told us to just stay on the floor. I was with my uncle and my little brother and sister."
"9-1-1, what's your emergency?",Emergency dispatcher. What's the matter?
"9-1-1, what's your emergency?","Hi, we're on the Great Salt Lake, and our boat has tipped over. We're near the Saltair Marina, a little northwest of it."
"9-1-1, what's your emergency?",I want emergency what he were fighting. Hello. I can't take it out.
"9-1-1, what's your emergency?","I'm sorry, what? In Palm Desert? Okay, okay, I'm sorry, I'm sorry."
"9-1-1, you need police, fire, or medical?","I mean, you know what happened? I'm sorry. I'm sorry. There's a situation here. We have residents that, I think, they stole a car, and there's a man in the bathroom right now."
"9-1-1, what's your emergency?",We just witnessed a shooting on 3rd Avenue and Nickerson. Yes.
"9-1-1, what's your emergency?","I'm at 6969 East Main. My son just shot his wife, two houses to the south of me. That's what I'm telling you."
"9-1-1, what's your emergency?","Police, please. 51 Redwood Drive in North York."
"9-1-1, what's your emergency?",Hello? Hello?
"9-1-1, what's your emergency?","There's an emergency at Fairway off of Beechville, 30188. Yes, ma'am."
"9-1-1, what's your emergency?","Yes, sir, I need a police car right now at night. 504 Gay Street."
"9-1-1, what's your emergency?","Yes, ma'am. I'm at a school on 2nd Avenue, and there’s a gentleman here saying the police are coming and he's going to start shooting. I'm in the front office."
"9-1-1, what's your emergency?","Hey Amelia, this is Todd. How you doing? Hey, can you send someone by Hawkins that runs between Lynn and Post, over in Zone 2?"
"9-1-1, what's your emergency?",The baby's not breathing. 1280 Highland Avenue.
"9-1-1, what's your emergency?","Hello. We're at the Nelson Building and there's a man here with a gun who came into the board meeting. Yes, on Balboa, 1311 Balboa."
"9-1-1, what's your emergency?","Hi there. Um, I'd like to report something. Um, I took some pills and the pills made me go mad and I murdered my roommate."
"9-1-1, what's your emergency?",There's a black male yelling at me to turn off an alarm. I'm on Harrison and Albemarle.
"9-1-1, what's your emergency?","I'm out here right now, and I locked my keys in my car. Is there any way that someone can come out here and unlock my car?"
"9-1-1, what's your emergency?","Somebody broke into our house. Um, last night, and I don't know who it was, but they killed everybody here except for my sister, my brother, and me. Matthew Peek."
"9-1-1, where is your emergency?","4,900 down the street. 4,900 Comfrey."
"9-1-1, what's your emergency?","A plane crashed in Marshfield, on 17th in Lincoln, in houses. Right in the backyard at 17th and Devine."
"9-1-1, what's your emergency?","Yes, we need someone out at Glenwood Gardens as soon as possible. There's a lady that looks like she fainted or had a heart problem. What's the address here? Do you know the address?"
"9-1-1, what's your emergency?","I'm somewhere on North Hicks, and I fell through a drain cover. Yeah."
"9-1-1, what's your emergency?",My home! 340 Doyle. Town Borough.
"9-1-1, what's your emergency?","We have shots fired at Seven Oaks Cabin. We have an officer down. I repeat, officer down."
"9-1-1, what's your emergency?","Yes, I have a 3-year-old who's not breathing. 16097 North Waldrop Avenue, Gardendale."
"9-1-1, what's your emergency?","Hey, I'm at the Westfield shopping mall, Annapolis. And I see some activity going on in the car, and I don't think it's proper."
"9-1-1, what's your emergency?","Uh, 5001, there's a man with a gun. Uh, Camden Road."
"9-1-1, what's your emergency?",Oh! Oh my God. I'm out at the beach right now. We just got struck by lightning!
"9-1-1, what's your emergency?","Hey, we're at 7420 South Howell, and some guy is shooting a gun at the temple. Yes, he's inside."
"9-1-1, what's your emergency?","Moving to the basement, 131 Front Street between Main and North. Unsure at this time if anyone is injured."
"9-1-1, what's your emergency?","Shots fired. Officer down. Officer down. 6,004 Rachel Court."
"9-1-1, what's your emergency?",She'll be on the floor. Okay.
"9-1-1, what's your emergency?",Hello? There's an emergency. This is the BlocoBank at 1302 West International Speedway Boulevard.
"9-1-1, what's your emergency?","Hey, hey, I need a sheriff. The corner of Reef and Weimus."
"9-1-1, what's your emergency?","Yes, ma'am. I believe I may have a possible heroin overdose. Yes, ma'am."
"9-1-1, what's your emergency?",I shot my husband. Watch my drive.
"9-1-1, what's your emergency?",There's a dead man at the park at 31st Avenue in Belmont. Yes. At the west end of the park.
"9-1-1, what's your emergency?","I don't know, please help me. I love me. I just don't know where we are."
"9-1-1, what's your emergency?","Hi, I'm calling because I'm on my way to work going northbound on Redwood Road. Right around just a little south of the Harvest Hills area on the west side of Redwood, I saw a man walking with a samurai sword."
"9-1-1, what's your emergency?","Yes, ma'am. I just shot my daughter and shot all my grandkids, and I'll be sitting on my step, and when you get here, I'm going to shoot myself. 2550 Northwest, 25th, 25 Paris, downstairs. Every one of them are dead."
"9-1-1, what's your emergency?","Yes, my name is Andrew Komkoski. I'm CEO of the Chief Financial Credit Union headquartered in Berlin. I just received a call a few minutes ago from one of our VPs who states that he's a victim of a home invasion overnight. His mom, who resides with him, is strapped to a bomb as well as him. He's instructing me to evacuate our branch in New Britain because one of the perpetrators is going to accompany him to collect cash. And I have no reason not to believe what he's saying or how he feels."
"9-1-1, what's your emergency?",He's here now. He's in the house. 26.
"9-1-1, what's your emergency?","Yes, shots fired at St. James Catholic Church on Harrison. Yes, I did."
"9-1-1, what's your emergency?","I'm sitting in the park at West Boulevard by the West Boulevard Rapid Transportation Station. There's a guy here with a pistol. It’s probably fake, but he's pointing it at everybody. I'm sitting in the park at West Boulevard by the West Boulevard Rapid Transit Station."
"9-1-1, what's your emergency?","Hi, I apologize for this because I just called your number and it says that the desk is closed so to reach a police officer, I had to call 911. I would like for a police officer to give me a call."
"9-1-1, what's your emergency?",Hello. I need help. My dad is hurt.
"9-1-1, what's your emergency?","Listen, I cannot understand you. I shot oxygen. I go in the water."
"9-1-1, what's your emergency?","We have a signal 14, possible signal 20F, headed to East University from Cassadaga. It's an extended cab white Chevy with a ladder sticking out of the back. The driver is Brian Lankford, wearing camo clothing."
"9-1-1, what's your emergency?","My boyfriend is not moving and he's bleeding from under his armpit. 5520 Beaver Crest Drive, apartment 10."
"9-1-1, what's your emergency?",I haven't got a hospital. At the hospital.
"9-1-1, what's your emergency?","Yeah, I just... I just committed a father's worst sin."
"9-1-1, what's your emergency?","Please, send the police! He killed my friends!"
"9-1-1, what's your emergency?","Hi, 1313 Esther Drive, Boulder City, Nevada. 259-899-7979."
"9-1-1, what's your emergency?","I'm up here at McDonald's, and I had ordered like seven burgers. I went to my vehicle, and when I came back, they took a burger from me."
"9-1-1, what's your emergency?",Hello? My dad and my uncle just got shot. They came in and then they left. Someone tried to catch them. They really shot him.
"9-1-1, what's your emergency?","A plane has just crashed into the Hudson River. U.S. Air, Big D.C. 9 or 10 has crashed into the Hudson River."
"9-1-1, what's your emergency?","750 South, 650 West, apartment 154. Yes."
"9-1-1, what's your emergency?",Please come down here. I don't know the address.
"9-1-1, what's your emergency?",They're pulling this road over here. There's piles and piles of stuff everywhere. It's all over the road. It's a huge mess.
"9-1-1, what's your emergency?","There's an emergency at Northwest 6th Avenue and 8th Street. Yes, 6th Avenue and 8th Street."
"9-1-1, what's your emergency?","There's somebody, there's a guy, and I'm home alone, and he's banging on my door. Please, I need somebody here, quick. West 79th Street."
"9-1-1, what's your emergency?","My Uncle Javis is slitting his neck and his girlfriend's neck, and I have kids here. My Uncle Javis is slitting his neck in front of my kids."
"9-1-1, what's your emergency?","I met Roosevelt in 59. The cafe races, there's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in the bathroom. We need help right away."
"9-1-1, what's your emergency?","455 East 300 South. 455 East 300 South, Salem."
"9-1-1, what's your emergency?","We're in here. Yes, we're at Macy's in the town center. We think we have a shooter in the store."
"9-1-1, what's your emergency?",Help! We need help. My husband just shot my son.
"9-1-1, what's your emergency?","Hi, a gentleman was just talking to you about someone that's broken into my house and he can't find his brother. Yes, this is..."
"9-1-1, what's your emergency?","No, I don't know what emergency do you need... Yes, please, please."
"9-1-1, what's your emergency?",Any kind of sheriff's going to help you? I've been shot.
"9-1-1, what's your emergency?","Yes, an airplane just went down. I think the townhouse is across from P.W. Perry and Flyar Hill, right off of Schoffer School Road."
"9-1-1, what's your emergency?","I have a friend who's been drinking. He's now loading several weapons and about to go to his girlfriend's house. He is armed and dangerous. He's got a pistol, a shotgun, and a rifle I know of."
"9-1-1, what's your emergency?","My brother is having a breakdown in open. My brother, yes."
"9-1-1, what's your emergency?",I've been shot. Please get an officer to 6701 Northwest 7th Avenue. Miami Police.
"9-1-1, what's your emergency?","Water here. Hello, I'm floating down the river in my car."
"9-1-1, what's your emergency?","Hi, my name is Maria. I'm calling because my teacher, Mr. Haynes, he's throwing things and knocked over the table and screaming at us like he's going crazy. In Selby Lane School in Redwood City."
